Scientific_common_name	dataset	version	Classification	Taxon.ID	Assembly	Accession
Hordeum vulgare TRITEX	hvtritex_eg_gene	Morex_V2_scaf	Liliopsida	112509	Morex_V2_scaf	GCA_903813605.1
Ipomoea triloba	itriloba_eg_gene	ASM357664v1	eudicotyledons	35885	ASM357664v1	GCA_003576645.1
Juglans regia	jregia_eg_gene	Walnut_2.0	eudicotyledons	51240	Walnut_2.0	GCA_001411555.2
Kalanchoe fedtschenkoi	kfedtschenkoi_eg_gene	K_fedtschenkoi_M2_v1	eudicotyledons	63787	K_fedtschenkoi_M2_v1	GCA_002312845.1
Lactuca sativa	lsativa_eg_gene	Lsat_Salinas_v7	eudicotyledons	4236	Lsat_Salinas_v7	GCA_002870075.2
Leersia perrieri	lperrieri_eg_gene	Lperr_V1.4	Liliopsida	77586	Lperr_V1.4	GCA_000325765.3
Lupinus angustifolius	langustifolius_eg_gene	LupAngTanjil_v1.0	eudicotyledons	3871	LupAngTanjil_v1.0	GCA_001865875.1
Malus domestica Golden	mdgolden_eg_gene	ASM211411v1	eudicotyledons	3750	ASM211411v1	GCA_002114115.1
Manihot esculenta	mesculenta_eg_gene	Manihot esculenta v6	eudicotyledons	3983	Manihot_esculenta_v6	GCA_001659605.1
Marchantia polymorpha	mpolymorpha_eg_gene	Marchanta_polymorpha_v1	Embryophyta	3197	Marchanta_polymorpha_v1	GCA_003032435.1
Medicago truncatula	mtruncatula_eg_gene	MedtrA17_4.0	eudicotyledons	3880	MedtrA17_4.0	GCA_000219495.2
Musa acuminata	macuminata_eg_gene	Musa_acuminata_v2	Liliopsida	214687	Musa_acuminata_v2	GCA_904845865.1
Nicotiana attenuata	nattenuata_eg_gene	NIATTr2	eudicotyledons	49451	NIATTr2	GCA_001879085.1
Nymphaea colorata	ncolorata_eg_gene	ASM883128v1	Embryophyta	210225	ASM883128v1	GCA_008831285.1
Olea europaea	oeuropaea_eg_gene	OLEA9	eudicotyledons	158383	OLEA9	GCA_902713445.1
Olea europaea var. sylvestris	oesylvestris_eg_gene	O_europaea_v1	eudicotyledons	158386	O_europaea_v1	GCA_002742605.1
Oryza barthii	obarthii_eg_gene	O.barthii_v1	Liliopsida	65489	O.barthii_v1	GCA_000182155.2
Oryza brachyantha	obrachyantha_eg_gene	Oryza_brachyantha.v1.4b	Liliopsida	4533	Oryza_brachyantha.v1.4b	GCA_000231095.2
Oryza glaberrima	oglaberrima_eg_gene	Oryza_glaberrima_V1	Liliopsida	4538	Oryza_glaberrima_V1	GCA_000147395.1
Oryza glumipatula	oglumipatula_eg_gene	Oryza_glumaepatula_v1.5	Liliopsida	40148	Oryza_glumaepatula_v1.5	GCA_000576495.1
Oryza longistaminata	olongistaminata_eg_gene	O_longistaminata_v1.0	Liliopsida	4528	O_longistaminata_v1.0	GCA_000789195.1
Oryza meridionalis	omeridionalis_eg_gene	Oryza_meridionalis_v1.3	Liliopsida	40149	Oryza_meridionalis_v1.3	GCA_000338895.2
Oryza nivara	onivara_eg_gene	Oryza_nivara_v1.0	Liliopsida	4536	Oryza_nivara_v1.0	GCA_000576065.1
Oryza punctata	opunctata_eg_gene	Oryza_punctata_v1.2	Liliopsida	4537	Oryza_punctata_v1.2	GCA_000573905.1
Oryza rufipogon	orufipogon_eg_gene	OR_W1943	Liliopsida	4529	OR_W1943	GCA_000817225.1
Oryza sativa Indica Group	oindica_eg_gene	ASM465v1	Liliopsida	39946	ASM465v1	GCA_000004655.2
Oryza sativa Japonica Group	osativa_eg_gene	IRGSP-1.0	Liliopsida	39947	IRGSP-1.0	GCA_001433935.1
Ostreococcus lucimarinus	olucimarinus_eg_gene	ASM9206v1	Chlorophyta	436017	ASM9206v1	GCA_000092065.1
Panicum hallii FIL2	phfil2_eg_gene	PHallii_v3.1	Liliopsida	206008	PHallii_v3.1	GCA_002211085.2
Panicum hallii HAL2	phallii_eg_gene	PhalliiHAL_v2.1	Liliopsida	1504633	PhalliiHAL_v2.1	GCA_003061485.1
Papaver somniferum	psomniferum_eg_gene	ASM357369v1	Embryophyta	3469	ASM357369v1	GCA_003573695.1
Phaseolus vulgaris	pvulgaris_eg_gene	PhaVulg1_0	eudicotyledons	3885	PhaVulg1_0	GCA_000499845.1
Physcomitrium patens	ppatens_eg_gene	Phypa V3	Embryophyta	3218	Phypa_V3	GCA_000002425.2
Pistacia vera	pvera_eg_gene	PisVer_v2	eudicotyledons	55513	PisVer_v2	GCA_008641045.1
Populus trichocarpa	ptrichocarpa_eg_gene	Pop_tri_v3	eudicotyledons	3694	Pop_tri_v4	GCA_000002775.4
Prunus avium	pavium_eg_gene	PAV_r1.0	eudicotyledons	42229	PAV_r1.0	GCA_002207925.1
Prunus dulcis	pdulcis_eg_gene	ALMONDv2	eudicotyledons	3755	ALMONDv2	GCA_902201215.1
Prunus persica	ppersica_eg_gene	Prunus_persica_NCBIv2	eudicotyledons	3760	Prunus_persica_NCBIv2	GCA_000346465.2
Quercus lobata	qlobata_eg_gene	ValleyOak3.0	eudicotyledons	97700	ValleyOak3.0	GCA_001633185.2
Rosa chinensis	rchinensis_eg_gene	RchiOBHm-V2	eudicotyledons	74649	RchiOBHm-V2	GCA_002994745.2
Saccharum spontaneum	sspontaneum_eg_gene	Sspon.HiC_chr_asm	Liliopsida	62335	Sspon.HiC_chr_asm	GCA_003544955.1
Selaginella moellendorffii	smoellendorffii_eg_gene	v1.0	Embryophyta	88036	v1.0	GCA_000143415.1
Sesamum indicum	sindicum_eg_gene	S_indicum_v1.0	eudicotyledons	4182	S_indicum_v1.0	GCA_000512975.1
Setaria italica	sitalica_eg_gene	Setaria_italica_v2.0	Liliopsida	4555	Setaria_italica_v2.0	GCA_000263155.2
Setaria viridis	sviridis_eg_gene	Setaria_viridis_v2.0	Liliopsida	4556	Setaria_viridis_v2.0	GCA_005286985.1
Solanum lycopersicum	slycopersicum_eg_gene	SL3.0	eudicotyledons	4081	SL3.0	GCA_000188115.3
Solanum tuberosum	stuberosum_eg_gene	SolTub_3.0	eudicotyledons	4113	SolTub_3.0	GCA_000226075.1
Sorghum bicolor	sbicolor_eg_gene	Sorghum_bicolor_NCBIv3	Liliopsida	4558	Sorghum_bicolor_NCBIv3	GCA_000003195.3
Theobroma cacao Belizian Criollo B97-61/B2	tccriollo_eg_gene	Criollo_cocoa_genome_V2	eudicotyledons	3641	Criollo_cocoa_genome_V2	GCA_000208745.2
Theobroma cacao Matina 1-6	tcacao_eg_gene	Theobroma_cacao_20110822	eudicotyledons	3641	Theobroma_cacao_20110822	GCA_000403535.1
Trifolium pratense	tpratense_eg_gene	Trpr	eudicotyledons	57577	Trpr	GCA_900079335.1
Triticum aestivum	taestivum_eg_gene	IWGSC	Liliopsida	4565	IWGSC	GCA_900519105.1
Triticum aestivum Arinalrfor	taarinalrfor_eg_gene	PGSBv2.0_Arinalrfor	Liliopsida	4565	PGSBv2.1	GCA_903993985.1
Triticum aestivum Cadenza	tacadenza_eg_gene	TGAC_cadenza	Liliopsida	4565	EIv1.1	GCA_902810645.1
Triticum aestivum Claire	taclaire_eg_gene	TGAC_paragon	Liliopsida	4565	EIv1.1	GCA_902810655.1
Triticum aestivum Jagger	tajagger_eg_gene	PGSBv2.0_Jagger	Liliopsida	4565	PGSBv2.1	GCA_903993795.1
Triticum aestivum Julius	tajulius_eg_gene	PGSBv2.0_Julius	Liliopsida	4565	PGSBv2.1	GCA_903994195.1
Triticum aestivum Lancer	talancer_eg_gene	PGSBv2.0_Lancer	Liliopsida	4565	PGSBv2.1	GCA_903993975.1
Triticum aestivum Landmark	talandmark_eg_gene	PGSBv2.0_Landmark	Liliopsida	4565	PGSBv2.1	GCA_903995565.1
Triticum aestivum Mace	tamace_eg_gene	PGSBv2.0_Mace	Liliopsida	4565	PGSBv2.1	GCA_903994175.1
Triticum aestivum Norin61	tanorin61_eg_gene	PGSBv2.0_Norin61	Liliopsida	4565	PGSBv2.1	GCA_904066035.1
Triticum aestivum Paragon	taparagon_eg_gene	EI_paragon	Liliopsida	4565	EIv1.1	GCA_902810665.1
Triticum aestivum Robigus	tarobigus_eg_gene	TGAC_robigus	Liliopsida	4565	EIv1.1	GCA_902810685.1
Triticum aestivum Stanley	tastanley_eg_gene	PGSBv2.2_Stanley	Liliopsida	4565	PGSBv2.2	GCA_903994155.1
Triticum aestivum Sy Mattis	tamattis_eg_gene	PGSBv2.0_Mattis	Liliopsida	4565	PGSBv2.1	GCA_903994185.1
Triticum aestivum Weebill	taweebil_eg_gene	EI_WeebilV1	Liliopsida	4565	WeebilV1	GCA_902810675.1
Triticum dicoccoides	tdicoccoides_eg_gene	WEWSeq v.1.0	Liliopsida	85692	WEWSeq_v.1.0	GCA_002162155.1
Triticum spelta	tspelta_eg_gene	PGSBv2.0_Spelta	Liliopsida	58933	PGSBv2.0	GCA_903994165.1
Triticum turgidum	tturgidum_eg_gene	svevo	Liliopsida	4567	Svevo.v1	GCA_900231445.1
Triticum urartu	turartu_eg_gene	ASM34745v1	Liliopsida	4572	IGDB	GCA_003073215.1
Vigna angularis	vangularis_eg_gene	Vigan1.1	eudicotyledons	3914	Vigan1.1	GCA_001190045.1
Vigna radiata	vradiata_eg_gene	Vradiata_ver6	eudicotyledons	3916	Vradiata_ver6	GCA_000741045.2
Vitis vinifera	vvinifera_eg_gene	12X	eudicotyledons	29760	PN40024.v4	GCA_910591555.1
Zea mays	zmays_eg_gene	Zm-B73-REFERENCE-NAM-5.0	Liliopsida	4577	Zm-B73-REFERENCE-NAM-5.0	GCA_902167145.1
